name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
didierfranc/react-waterfall,7,2,12,3,1,0,0
diegomura/react-pdf,1687,33,9822,33,1,0,0
dimatill/graphql-shield,61,1,121,1,1,0,0
dimensiondev/maskbook,18,11,36,27,1,0,0
dotansimha/graphql-yoga,66,6,146,6,0,1,0
douyinfe/semi-design,1197,1,2785,1,1,0,0
downshift-js/downshift,738,37,1366,37,0,0,1
ealush/vest,1000,58,1768,82,0,0,1
effector/effector,1784,1292,2558,1549,0,0,1
egoist/bili,1,1,1,1,1,0,0
egoist/vue-content-loader,17,1,37,1,1,0,0
elastic/kibana,48369,4173,77847,4669,0,0,1
elderjs/elderjs,237,24,390,29,0,0,1
electron/fiddle,740,46,1102,52,1,0,0
elegantapp/pwa-asset-generator,40,18,44,18,1,0,0
elemefe/element-react,98,2,218,3,1,0,0
enisdenjo/graphql-ws,132,2,278,6,0,0,1
expo/expo-cli,760,32,1272,40,0,0,1
express-validator/express-validator,259,4,460,4,1,0,0
facebookarchive/rebound-js,20,2,41,4,1,0,0
facebook/docusaurus,1191,227,2041,296,0,0,1
facebook/jest,3807,509,6749,632,0,0,1
facebook/jscodeshift,149,1,277,1,1,0,0
faceyspacey/react-universal-component,65,24,147,61,1,0,0
faceyspacey/redux-first-router,95,20,219,22,1,0,0
faridsafi/react-native-gifted-chat,29,27,29,27,1,0,0
fb55/htmlparser2,89,19,54,19,1,0,0
feathericons/feather,16,12,26,20,1,0,0
ferdikoomen/openapi-typescript-codegen,180,2,487,2,1,0,0
fkhadra/react-toastify,108,4,201,4,1,0,0
foliojs/pdfkit,141,1,278,1,0,1,0
formidablelabs/react-swipeable,28,2,113,4,1,0,0
formkit/formkit,895,2,1558,2,1,0,0
fossasia/open-event-next,1,1,1,1,1,0,0
francoischalifour/medium-zoom,105,23,224,24,1,0,0
frctl/fractal,246,22,312,22,1,0,0
fredkschott/snowpack,273,37,451,51,0,0,1
freecodecamp/chapter,128,4,200,4,1,0,0
freecodecamp/freecodecamp,447,28,677,28,1,0,0
frenic/csstype,24,17,69,17,1,0,0
frontend-collective/react-image-lightbox,29,1,45,1,1,0,0
